name1.name,name1.name_type,name1.taxon
6,1,2292
7707728,1,2293
196,1,2298
1169,1,2309
7683,1,2313
2766430,1,2314
2766636,1,2315
220,1,2343
407,1,2371
6688,1,2372
3034041,1,2373
3034046,1,2374
1369,1,2323
3073,1,2327
2705751,1,2328
1370,1,2357
5386,1,2358
2947798,1,2361
2703525,1,2329
552,1,2304
7681,1,2305
2736518,1,2306
691,1,2407
6640,1,2408
2984563,1,2409
8032558,1,2410
7225535,1,2344
3112,1,2345
3042506,1,2346
1414,1,2378
4691,1,2382
3060685,1,2385
3060998,1,2386
941,1,2387
6685,1,2388
2984934,1,2392
3152205,1,2393
2735116,1,2307
2735117,1,2308
412,1,2368
8798,1,2369
2895315,1,2370
3152652,1,2391
3071464,1,2383
3071476,1,2384
7224005,1,2355
6634,1,2356
228,1,2294
834,1,2295
6168,1,2296
2683206,1,2297
1176,1,2421
7717,1,2425
2928997,1,2427
2930617,1,2429
627,1,2338
4687,1,2339
2756693,1,2341
2757280,1,2342
690,1,2394
5014,1,2400
3187232,1,2403
5420380,1,2404
2945830,1,2359
2871901,1,2303
5349581,1,2360
1354,1,2364
5352,1,2365
2891925,1,2366
2891930,1,2367
2984565,1,2411
4907584,1,2379
3189443,1,2380
5421065,1,2381
933,1,2415
2396,1,2419
3190155,1,2420
2705049,1,2336
5290052,1,2337
2398,1,2416
3075453,1,2417
3190638,1,2418
3029010,1,2405
3183335,1,2406
8183892,1,2389
3152707,1,2390
7682,1,2310
2771359,1,2311
2857697,1,2312
6636,1,2349
2874482,1,2350
2874484,1,2351
3740,1,2324
2699430,1,2325
5288819,1,2326
6684,1,2397
3188663,1,2398
5420901,1,2399
2930262,1,2430
3040962,1,2347
3040963,1,2348
2932937,1,2426
2703455,1,2330
2703459,1,2331
554,1,2320
3737,1,2321
8404076,1,2322
422,1,2352
2416,1,2353
2888822,1,2354
2705180,1,2334
2705181,1,2335
718,1,2375
9291,1,2376
3155252,1,2377
2703910,1,2332
2703912,1,2333
2389,1,2422
2928509,1,2423
2928551,1,2424
551,1,2299
6979,1,2300
5330758,1,2301
5330776,1,2302
2930137,1,2428
2431,1,2395
3189387,1,2396
2944679,1,2362
2944683,1,2363
1171,1,2316
7694,1,2317
2754367,1,2318
1,1,1625
54,1,1626
216,1,1640
809,1,1776
4521,1,1923
2082961,1,1926
2083015,1,1932
4534,1,2048
2092782,1,2051
2092833,1,2055
1470,1,1641
4239,1,1696
1225109,1,1718
7780,1,1663
4718924,1,1689
1232636,1,1722
5020341,1,1724
811,1,1754
3520,1,1766
1626510,1,1767
8070510,1,1768
2083865,1,1951
2083914,1,1953
6963,1,1856
2092293,1,1857
2092472,1,1860
2049629,1,1862
8202676,1,1864
2091522,1,1867
2091537,1,1868
2083970,1,1952
5161675,1,1935
5161683,1,1936
2081087,1,2074
2095283,1,2076
8651,1,2003
2080538,1,2004
4484675,1,2007
2083618,1,1967
7688159,1,1968
2080604,1,2005
1228,1,2276
4387,1,2282
1420800,1,2287
1420801,1,2288
4425773,1,1747
1051129,1,1750
5988462,1,1751
5602,1,1650
1111662,1,1655
1111797,1,1656
4319,1,2013
2009239,1,2028
7845604,1,2029
3265514,1,1820
2089594,1,1821
4290164,1,1828
4290165,1,1822
4290167,1,1826
4290168,1,1824
1065060,1,1748
4293553,1,1749
8494,1,1728
1169984,1,1729
1169988,1,1730
1169439,1,1733
1169443,1,1734
9649,1,1887
2050115,1,1888
5156106,1,1889
2095382,1,2071
7920517,1,2072
5161743,1,1937
8268438,1,2056
2093900,1,2057
4247,1,1907
2062851,1,1919
2062873,1,1920
2063214,1,1912
2063240,1,1913
2083123,1,1954
5161411,1,1955
2095276,1,2079
2095308,1,2080
2087402,1,1944
2087459,1,1945
2091083,1,1880
5163470,1,1881
2083434,1,1941
2083463,1,1943
5163369,1,1866
5712981,1,1863
2079873,1,2008
2079883,1,2009
2083004,1,1931
8194699,1,1928
3042,1,1798
2074687,1,1813
2074692,1,1814
8643682,1,1799
9083295,1,1802
797,1,2104
7015,1,2160
1765207,1,2181
5109882,1,2182
6953,1,2149
1946721,1,2152
1946737,1,2153
1772611,1,2177
1772630,1,2178
1458,1,2237
9394,1,2238
1707447,1,2249
1707539,1,2250
1707497,1,2251
367,1,1627
372,1,1628
6059,1,1629
2131853,1,1630
2131854,1,1631
6057,1,1632
2130777,1,1635
2130247,1,1638
1047956,1,1687
1047957,1,1688
3329,1,1755
1552947,1,1762
1553148,1,1763
1554236,1,1760
1554642,1,1761
1553283,1,1756
1553757,1,1758
1553384,1,1759
7888,1,1998
2007771,1,1999
2010563,1,2021
8054296,1,2023
9652,1,2043
5431403,1,2044
9650,1,2036
2078851,1,2039
2078852,1,2040
2078820,1,2041
2010238,1,2018
5812901,1,2020
3265959,1,2046
9647,1,1832
8222044,1,1839
5986019,1,1840
7889,1,2010
2021984,1,2011
2022062,1,2012
2048891,1,1841
2048896,1,1842
4304,1,1777
2012123,1,1785
2012126,1,1786
5336,1,2209
2076150,1,1811
2076179,1,1812
8414954,1,1801
8841,1,2113
1886725,1,2131
1886730,1,2132
5109848,1,2183
5343,1,2223
1736951,1,2227
1737015,1,2228
1870449,1,2210
1870450,1,2211
1891594,1,2128
1740434,1,2224
1740496,1,2226
5487,1,2145
1750759,1,2146
8863,1,2206
1859925,1,2207
1859927,1,2208
8868,1,2213
1861607,1,2214
1861644,1,2215
5473,1,2154
1924564,1,2158
1924713,1,2159
1785140,1,2169
1785185,1,2170
3991,1,2260
1686201,1,2265
1686219,1,2266
1420882,1,2289
1420906,1,2290
1420961,1,2291
2082478,1,2049
8082584,1,2050
1890287,1,2116
3263747,1,1712
4291564,1,1714
5019910,1,1726
4204,1,1659
1080110,1,1660
1080311,1,1662
1169449,1,1731
1169450,1,1732
4205,1,1739
1075895,1,1742
4995642,1,1743
2088966,1,1956
2089321,1,1961
2089035,1,1963
2074358,1,1807
2074369,1,1808
2086145,1,1978
8038788,1,1980
7672713,1,2053
2093289,1,2063
2093294,1,2065
2085650,1,1971
2091561,1,1872
8123161,1,1873
4290201,1,1979
2088694,1,1982
2088910,1,1983
4539,1,2105
1853137,1,2106
4554,1,2108
1852917,1,2109
1420794,1,2285
1420795,1,2286
1104680,1,1653
4293080,1,1654
1188295,1,1697
1188297,1,1698
7690887,1,1771
5087454,1,1769
2088598,1,1924
7631004,1,1925
5163234,1,1865
2091462,1,1885
5163542,1,1886
8026254,1,1942
8321970,1,1984
5164205,1,2073
2095178,1,2078
4771654,1,1793
4771658,1,1794
4290170,1,1827
2080592,1,2006
2062148,1,1917
2062150,1,1918
2095136,1,2081
2092326,1,1861
1553327,1,1757
2077142,1,1809
2077143,1,1810
1879396,1,2126
1879408,1,2127
8860,1,2203
1831127,1,2204
1831136,1,2205
8874,1,2234
1879334,1,2119
1879345,1,2120
2129807,1,1637
2092092,1,1876
8198400,1,1877
2096058,1,2069
2096180,1,2070
5020065,1,1727
1102255,1,1657
1102275,1,1658
4734957,1,1677
5020459,1,1723
2061885,1,1908
7375840,1,1909
1762640,1,2184
1762657,1,2185
1048751,1,1669
1048753,1,1670
1048754,1,1671
1048752,1,1672
1143223,1,1651
1143224,1,1652
1169302,1,1737
1169308,1,1738
2075119,1,1804
2075144,1,1805
2012156,1,1778
8354964,1,1779
2012121,1,1781
2012122,1,1782
2082986,1,1929
2083038,1,1930
2089305,1,1959
2063223,1,1914
3764,1,1817
2016635,1,1818
2016693,1,1819
7631,1,2089
2014479,1,2090
2014481,1,2091
2093292,1,2064
2086421,1,1949
2086435,1,1950
2061901,1,1910
2061914,1,1911
2048922,1,1843
2092785,1,2054
2062754,1,1921
2062771,1,1922
2031843,1,1848
2031856,1,1849
7663030,1,1981
999,1,2099
4353,1,2100
2007329,1,2101
1853138,1,2107
1694654,1,2267
1694658,1,2268
1460,1,2269
5108,1,2270
1412320,1,2271
1412321,1,2272
1412323,1,2273
1226155,1,1707
7766801,1,1708
5020248,1,1725
8259259,1,1882
2091776,1,1878
1895908,1,2194
2091992,1,1879
2084091,1,1947
7908854,1,1948
4386,1,2277
1420196,1,2278
1420197,1,2279
1420159,1,2280
1420160,1,2281
2130185,1,1639
4407280,1,2001
4771134,1,2002
2042778,1,1833
1784925,1,2163
1785024,1,2164
2089086,1,1964
1761917,1,2161
5109097,1,2162
2076787,1,1806
4744603,1,1709
7733031,1,1710
3260118,1,1664
5808809,1,1665
5808792,1,1668
1209327,1,1890
5733019,1,1891
3266521,1,1994
3266522,1,1995
4781480,1,1996
6130167,1,2019
2089006,1,1957
1712229,1,2247
1712231,1,2248
1177740,1,1699
4291693,1,1700
4782384,1,2037
4782385,1,2038
2089229,1,1958
1923808,1,2156
1048246,1,1681
1048253,1,1682
7782,1,1693
1043619,1,1694
8324342,1,2022
4703461,1,2219
2092505,1,1859
7017,1,2189
1916794,1,2190
5136414,1,2191
1886289,1,2136
1886362,1,2137
5163430,1,1883
2091496,1,1869
5163553,1,1870
5163561,1,1871
2012135,1,1783
2012137,1,1784
5162255,1,1973
2007333,1,2102
1740814,1,2230
1740828,1,2231
1779462,1,2166
1779563,1,2168
1743318,1,2232
1743319,1,2233
1883459,1,2114
5127097,1,2115
2129731,1,1633
2129742,1,1634
4745629,1,1706
1080274,1,1661
3789,1,1645
4990909,1,1648
1049531,1,1646
2088426,1,1989
7911763,1,1990
2072761,1,1803
2012158,1,1780
3265615,1,1791
7731255,1,1792
8416592,1,1975
8215075,1,1960
2095244,1,2075
5162198,1,1972
1740443,1,2225
1736963,1,2229
8057237,1,2147
1749580,1,2148
4702435,1,2202
9417,1,2199
1920784,1,2200
1938088,1,2201
1830808,1,2235
1830823,1,2236
5593,1,1744
1061346,1,1745
1170172,1,1735
8383943,1,1736
1553858,1,1764
1553913,1,1765
2011499,1,2014
5866589,1,2015
2092999,1,2082
2093000,1,2083
8498,1,1892
2054015,1,1897
5156453,1,1898
2069512,1,1815
2069572,1,1816
2025559,1,1837
1895956,1,2195
3257101,1,2212
1682933,1,2261
5096018,1,2262
1700877,1,2244
1700933,1,2246
1687259,1,2242
1713418,1,2243
1713296,1,2239
1713317,1,2240
6255622,1,2241
1700953,1,2245
3259981,1,1691
1225911,1,1716
4292415,1,1717
1194049,1,1703
1194073,1,1704
2082706,1,1987
2082707,1,1988
2083167,1,1965
7450112,1,1966
2087763,1,1985
8302527,1,1986
1785187,1,2179
5112440,1,2180
6950,1,2142
1966371,1,2143
1966736,1,2144
8353826,1,1770
2014543,1,2092
5153672,1,2093
3310,1,1829
2014511,1,1830
2014517,1,1831
1785072,1,2165
9717,1,2186
1802997,1,2187
1803059,1,2188
5928,1,2257
1727987,1,2258
5101013,1,2259
1621881,1,1772
1621932,1,1773
1622281,1,1774
1622294,1,1775
2009917,1,2016
7411079,1,2017
8075301,1,1946
5925,1,2252
1723420,1,2253
1723426,1,2254
2054377,1,1893
7875,1,1795
4391705,1,1796
2055863,1,1901
4777382,1,1902
2029376,1,1844
4290058,1,1845
2056616,1,1895
2056628,1,1896
2010229,1,2030
4776488,1,2031
4776724,1,2026
6130202,1,2027
1884090,1,2133
1767644,1,2176
1689406,1,2263
1689407,1,2264
4799778,1,2283
5015,1,2413
3002148,1,2414
2094713,1,2058
2094721,1,2059
2095025,1,2084
2095026,1,2085
8470,1,1850
2058165,1,1851
7666701,1,1854
2058206,1,1855
2232,1,2094
2061070,1,2097
2061071,1,2098
2233,1,2034
2051022,1,2035
4494,1,1997
2093386,1,2061
2093388,1,2062
2091272,1,1874
2091316,1,1875
2093279,1,2066
8303652,1,2068
2061608,1,1915
2061609,1,1916
7532763,1,1853
2094719,1,2060
2040599,1,1835
2040930,1,1836
7980864,1,2067
5947,1,2086
2057559,1,2087
2057572,1,2088
8839,1,2110
1842650,1,2111
1413754,1,2274
