raw_string,location,confirmed,new_isand_record
M=G,Guam,TRUE,FALSE
B=?,Palau,FALSE,FALSE
M=C,Saipan,TRUE,FALSE
M=C,Tinian,TRUE,FALSE
M=C,Rota,TRUE,FALSE
Y=n,Yap(n),TRUE,TRUE
M=RG,Rota,TRUE,FALSE
M=RG,Guam,TRUE,FALSE
Y=x,Yap,TRUE,FALSE
P=?,Pohnpei,FALSE,FALSE
M=S,Saipan,TRUE,FALSE
B=x?,Palau,FALSE,FALSE
M=GS?,Guam,TRUE,FALSE
M=GS?,Saipan,FALSE,FALSE
P=x,Pohnpei,TRUE,FALSE
"M=G,R",Guam,TRUE,FALSE
"M=G,R",Rota,TRUE,FALSE
K=x,Kosraie,TRUE,FALSE
M=Gn,Guam,TRUE,TRUE
M=x,Saipan,TRUE,FALSE
M=x,Tinian,TRUE,FALSE
M=x,Rota,TRUE,FALSE
M=x,Guam,TRUE,FALSE
K=n,Kosraie,TRUE,TRUE
T=n?,Chuuk,FALSE,TRUE
P=n,Pohnpei,TRUE,FALSE
T=?,Chuuk,FALSE,FALSE
P=n?,Pohnpei,FALSE,TRUE
B=x,Palau,TRUE,FALSE
T=Y,Chuuk,TRUE,FALSE
B=n,Palau,TRUE,FALSE
Y=?,Yap,FALSE,FALSE
M=G?,Guam,FALSE,FALSE
P=x?,Pohnpei,FALSE,FALSE
K=?,Kosraie,FALSE,FALSE
T=n,Chuuk,TRUE,TRUE
M=?,Saipan,FALSE,FALSE
M=?,Tinian,FALSE,FALSE
M=?,Rota,FALSE,FALSE
M=?,Guam,FALSE,FALSE
T=x,Chuuk,TRUE,FALSE
